epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,104.443,0.46034,0.36551,0.87099,0.87993,0.97368,0.95953,0.84831,0.56855,0.51649,0.94689,0.0012608,0.0012608,0.0012608
58,106.194,0.46114,0.36347,0.88558,0.88358,0.92105,0.94806,0.81735,0.59525,0.59883,0.96628,0.0012476,0.0012476,0.0012476
59,107.923,0.47789,0.39356,0.86927,0.91218,0.95677,0.94046,0.82545,0.53472,0.47496,0.99009,0.0012344,0.0012344,0.0012344
60,109.686,0.48563,0.37495,0.89383,0.91325,0.96972,0.92003,0.80544,0.54713,0.54895,0.97838,0.0012212,0.0012212,0.0012212
61,111.418,0.44998,0.36316,0.87687,0.93506,0.94737,0.97198,0.81932,0.5599,0.50267,0.98926,0.001208,0.001208,0.001208
62,113.159,0.44629,0.36478,0.86551,0.89248,0.93421,0.94255,0.80311,0.57776,0.51848,0.98651,0.0011948,0.0011948,0.0011948
63,114.891,0.449,0.3455,0.87159,0.92897,0.89474,0.95499,0.80884,0.57878,0.52173,0.99372,0.0011816,0.0011816,0.0011816
64,116.641,0.48645,0.40065,0.88961,0.90576,0.89474,0.94869,0.83422,0.59786,0.52951,1.00436,0.0011684,0.0011684,0.0011684
65,118.396,0.4437,0.35767,0.86701,0.84736,0.9496,0.91474,0.78906,0.55489,0.5576,0.98764,0.0011552,0.0011552,0.0011552
66,120.127,0.44694,0.3543,0.88738,0.93478,0.94294,0.93447,0.80771,0.59566,0.4706,1.03584,0.001142,0.001142,0.001142
67,121.88,0.44577,0.35734,0.87277,0.93237,0.96053,0.93877,0.81325,0.57201,0.46647,0.99279,0.0011288,0.0011288,0.0011288
68,123.63,0.46322,0.35256,0.86962,0.86775,0.94737,0.92544,0.79647,0.60386,0.50322,0.98966,0.0011156,0.0011156,0.0011156
69,125.367,0.43901,0.33416,0.86694,0.93503,0.97368,0.94954,0.80586,0.64328,0.47869,0.99905,0.0011024,0.0011024,0.0011024
70,127.104,0.44674,0.35423,0.86705,0.87239,0.98953,0.97884,0.86973,0.60676,0.47522,0.99352,0.0010892,0.0010892,0.0010892
71,128.869,0.45571,0.36226,0.88182,0.95556,0.86842,0.96283,0.85608,0.62001,0.51789,1.01652,0.001076,0.001076,0.001076
72,130.614,0.45878,0.35819,0.87529,0.93948,0.85526,0.94305,0.81928,0.61927,0.48321,1.03387,0.0010628,0.0010628,0.0010628
73,132.339,0.4251,0.32962,0.87671,0.85293,0.99209,0.94207,0.81765,0.57308,0.46655,0.99602,0.0010496,0.0010496,0.0010496
74,134.088,0.4542,0.3583,0.87944,0.93559,0.9556,0.96856,0.82193,0.60005,0.46314,1.05991,0.0010364,0.0010364,0.0010364
75,135.837,0.46179,0.36722,0.88658,0.94184,0.93421,0.95781,0.83519,0.56144,0.48446,1.00343,0.0010232,0.0010232,0.0010232
76,137.617,0.43969,0.32625,0.87395,0.95722,0.94737,0.97028,0.86383,0.55172,0.43773,0.94059,0.00101,0.00101,0.00101
77,139.357,0.45301,0.33514,0.88824,0.95308,0.94737,0.96027,0.86038,0.50654,0.44247,0.90453,0.0009968,0.0009968,0.0009968
78,141.097,0.44307,0.32708,0.86842,0.8466,0.90789,0.91943,0.81312,0.54856,0.51883,0.9331,0.0009836,0.0009836,0.0009836
79,142.786,0.46553,0.3406,0.87488,0.90595,0.94737,0.96988,0.86209,0.53917,0.43397,0.93248,0.0009704,0.0009704,0.0009704
80,144.51,0.42835,0.3203,0.86632,0.90853,0.98684,0.96672,0.84986,0.55122,0.43973,0.95589,0.0009572,0.0009572,0.0009572
81,146.316,0.45113,0.32174,0.87449,0.94562,0.96053,0.95482,0.82686,0.57136,0.47291,0.98518,0.000944,0.000944,0.000944
82,148.147,0.42379,0.30676,0.86705,0.9619,0.99667,0.96609,0.81274,0.66604,0.43277,1.06363,0.0009308,0.0009308,0.0009308
83,149.968,0.41962,0.31724,0.85719,0.87978,1,0.95874,0.82786,0.55724,0.47061,0.98172,0.0009176,0.0009176,0.0009176
84,151.806,0.41271,0.307,0.86379,0.91371,0.93421,0.95812,0.81555,0.5809,0.43577,1.03414,0.0009044,0.0009044,0.0009044
85,153.598,0.42969,0.57411,0.84144,0.95103,0.88158,0.94987,0.82499,0.62176,0.49628,1.06016,0.0008912,0.0008912,0.0008912
86,155.4,0.4434,0.36151,0.87168,0.96042,0.86842,0.9576,0.82021,0.62963,0.49284,1.06495,0.000878,0.000878,0.000878
87,157.191,0.41883,0.31146,0.8672,0.93827,0.92105,0.94978,0.82461,0.56677,0.48445,1.02446,0.0008648,0.0008648,0.0008648
88,159.037,0.42617,0.33438,0.87135,0.95483,0.86842,0.94294,0.84414,0.50529,0.45073,0.95425,0.0008516,0.0008516,0.0008516
89,160.831,0.40125,0.31036,0.86937,0.9387,0.80596,0.93592,0.79643,0.56915,0.54417,0.98472,0.0008384,0.0008384,0.0008384
90,162.648,0.41487,0.30822,0.85571,0.93751,0.85526,0.94733,0.82227,0.52918,0.50024,0.95837,0.0008252,0.0008252,0.0008252
91,164.431,0.41775,0.30591,0.87123,0.87846,0.8559,0.93196,0.81969,0.56266,0.54783,0.99108,0.000812,0.000812,0.000812
92,166.233,0.40074,0.30489,0.86685,0.9176,0.92105,0.95451,0.84609,0.59143,0.46864,1.02968,0.0007988,0.0007988,0.0007988
93,168.071,0.4044,0.30535,0.85302,0.92352,0.95337,0.95829,0.84253,0.51631,0.43629,0.96286,0.0007856,0.0007856,0.0007856
94,169.89,0.39437,0.30241,0.85773,0.95305,0.96053,0.95586,0.85267,0.51393,0.38506,0.94306,0.0007724,0.0007724,0.0007724
95,171.695,0.42494,0.31981,0.86073,0.94345,0.90789,0.93367,0.83296,0.5567,0.45397,0.95012,0.0007592,0.0007592,0.0007592
96,173.478,0.39469,0.30845,0.86719,0.92546,0.90789,0.96786,0.85084,0.6332,0.46978,1.02756,0.000746,0.000746,0.000746
97,175.271,0.3977,0.29607,0.86918,0.93322,0.97368,0.97616,0.85286,0.58688,0.41336,1.04248,0.0007328,0.0007328,0.0007328
98,177.061,0.39874,0.30374,0.86996,0.93781,0.96053,0.98823,0.8802,0.54046,0.38954,1.00304,0.0007196,0.0007196,0.0007196
99,178.884,0.39731,0.30248,0.85867,0.92596,0.98738,0.98844,0.89224,0.52023,0.39945,0.95674,0.0007064,0.0007064,0.0007064
100,180.698,0.4124,0.30308,0.87066,0.9523,0.97368,0.9828,0.87265,0.52394,0.40212,0.94211,0.0006932,0.0006932,0.0006932
101,182.507,0.40093,0.30274,0.86283,0.91553,1,0.97561,0.8622,0.59421,0.39691,0.9938,0.00068,0.00068,0.00068
102,184.303,0.41662,0.29188,0.86743,0.8938,1,0.97225,0.87381,0.54469,0.37825,0.99657,0.0006668,0.0006668,0.0006668
103,186.103,0.41123,0.29766,0.86988,0.94713,0.94282,0.96152,0.86243,0.54443,0.4039,0.94344,0.0006536,0.0006536,0.0006536
104,187.925,0.3841,0.28283,0.85329,0.94505,0.96053,0.9622,0.86998,0.54326,0.40528,0.94599,0.0006404,0.0006404,0.0006404
105,189.725,0.40655,0.28596,0.86169,0.94071,0.98684,0.96571,0.86076,0.58629,0.41378,0.97129,0.0006272,0.0006272,0.0006272
106,191.541,0.38066,0.26868,0.8374,0.92655,0.99593,0.97607,0.86795,0.54807,0.38236,0.95245,0.000614,0.000614,0.000614
107,193.331,0.37386,0.28455,0.85831,0.92823,0.97368,0.97559,0.87867,0.52759,0.38565,0.96202,0.0006008,0.0006008,0.0006008
108,195.171,0.40559,0.28989,0.84843,0.94851,0.96953,0.96669,0.88699,0.45962,0.36923,0.92031,0.0005876,0.0005876,0.0005876
109,196.966,0.38225,0.27509,0.85218,0.945,0.97368,0.97061,0.87485,0.53444,0.4231,0.93018,0.0005744,0.0005744,0.0005744
110,198.775,0.39359,0.28231,0.85154,0.94806,0.96077,0.97852,0.87174,0.51294,0.41673,0.91903,0.0005612,0.0005612,0.0005612
111,200.586,0.38574,0.31225,0.86012,0.93985,0.96053,0.98664,0.87591,0.49353,0.38063,0.91046,0.000548,0.000548,0.000548
112,202.421,0.38852,0.28997,0.858,0.94711,0.98684,0.98532,0.87536,0.52207,0.3877,0.95275,0.0005348,0.0005348,0.0005348
113,204.163,0.37414,0.28068,0.83407,0.92369,0.96053,0.98355,0.87019,0.56295,0.41576,1.0031,0.0005216,0.0005216,0.0005216
